link;titulo;moneda;precio;descripcion;ubicacion;condicion;Superficie total;Superficie cubierta;Dormitorios;Baños;Cantidad de pisos;Apartamentos por piso;Número de piso de la unidad;Disposición;Antigüedad;Gastos comunes;caracteristicas_ambientes;Cocheras;Ambientes;Orientación;Tipo de departamento;Bodegas;Acceso;Tipo de cochera;Tipo de cobertura;Metros de frente;Metros de fondo;Forma del terreno;Disposición del lote;Tipo de casa
https://apartamento.mercadolibre.com.uy/MLU-478721225-oportunidad-apartamento-en-excelente-estado-_JM#position=1&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Constituyente 1491, Centro;U$S;148.000;Apartamento muy luminoso en edificio Aguerrebere.2 dormitorios, ambos con placares.2 baños.Amplia cocina con Terraza Lavadero cerrada.70 metros cuadrados.Portería: Lunes a Sábado de 13 a 21 hs.Edificio de 11 pisos4 aptos por piso2 ascensores;Centro, Montevideo;Vende;70 m²;70 m²;2;2;;;;;;;;;;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478721155-apartamento-equipado-la-mejor-opcion-excelente-punto--_JM#position=2&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Martinez Trueba Y Maldonado 1111, Cordón;U$S;105.000;Se vende apartamento de un dormitorio con gran terraza , en Martínez Trueba y Maldonado totalmente equipado , pronto para alquilar , o vivir gran terraza con hermosa vista, parrillero , aires acondicionados ,todo en regla , posee gastos comunes $ 1800 y contribución,  inmobiliaria anual $ 6000 ,es una excelente opción ya sea para vivir o renta por mas información o visitas 099593367;Cordón, Montevideo;Vende;110 m²;43 m²;1;1;6;2;6;Frente;60 años;1800 UYU;Lavadero,Cocina,Living,Terraza,;;;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478766864-duplex-proximo-botanico-3-dormit-escritorio-o-4-dormit-_JM#position=3&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Joaquín Suárez 3571, Prado;U$S;145.000;APARTAMENTO DE 3 DORMITORIOS + ESCRITORIO o 4° DORMITORIO- PRADO SUR- Dúplex 2° y 3° piso, frentista a Valdense a 150 mts. del Jardín Botánico, vista despejada, impecable estado. P. Baja (30 m2): living-comedor con aire acondicionado, cocina semi-integrada con doble mesada de granito y profusión de placares, terraza lavadero con cerramiento de aluminio y policarbonato, extractor de aire. P. Alta (50 m2): hall de distribución, baño completo con placar, mueble aéreo, mesada de granito, mampara de vidrio, extractor. 3 dormitorios de 3x3 mts., escritorio de 2x3 con aire acondicionado. Los pisos de los dormitorios de parquet y el resto baldosas monolíticas, cerámicas en baño, cocina y terraza. Puerta blindada, aberturas dobles en dormitorios con postigones y aislación térmica en paredes exteriores. El complejo cuenta con ascensor, rejas perimetrales, portero eléctrico, cámaras de seguridad, entrada por Suárez y por Valdense, amplios espacios exteriores (2000 m2) parquizados, y para esparcimiento (cancha deportiva, juegos infantiles) EN EL CORAZON DE PRADO SUR (Suárez y 19 de Abril) a pasos de todos los servicios y del Botánico, Rosedal, Rural. (Acepta Banco);Prado, Montevideo;Vende;80 m²;80 m²;3;1;6;;2;Frente;45 años;3200 UYU;Lavadero,Cocina,Jardín,Balcón,Patio,Living,Estudio,Comedor,Terraza,;;;;;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478703259-casa-barrio-palermo-_JM#position=4&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Rrrrrrrr Sn, Palermo;$;158.000;Padron único, 90m² + 2 altillos de 5m²c/u + azotea, a pocas cuadras de 18 y de la rambla, living, 3 dormitorios, 2 con entrepiso, 2 baños,2 kitchenette, patio con claraboya y azotea. Tenemos video donde se puede ver más de la casa ya que solo permiten 14 fotos.U$s 158.000 INMOBILIARIA KHABS 099 611 402;Palermo, Montevideo;Vende;100 m²;100 m²;3;2;;;;;;;;;;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478759952-apartamento-en-venta-excelente-estado-centro-de-montevideo-_JM#position=5&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Andes 1358, Centro;U$S;140.000;Apartamento atractivo en pleno centro de Montevideo se encuentra en el piso 11 con buena luminosidad durante todo el día.Apto para BHU, en el 2015 se actualizo cañería tanto de baño como de cocina y cableado eléctrico.El valor se compone de USD 84.000 + (56.000 deuda actual en el BHU)Posible permuta por casa o ph dentro de similar valor.;Centro, Montevideo;Vende;65 m²;65 m²;02;1;12;6;11;Frente;;;Cocina,Living,Comedor,;;;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478700982-apartamento-tres-dormitorios-dos-patios-casi-un-jardin-_JM#position=6&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Cavia Y Libertad Sn, Pocitos;U$S;268.000;Pleno pocitos;Pocitos, Montevideo;Vende;125 m²;78 m²;3;2;;;;;;;;1;;;;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478793416-venta-casa-malvin-sur-3-dormitorios-3-banos-_JM#position=7&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Río De La Plata 1770, Malvin;U$S;280.000;En venta, casa ubicada en zona residencial de Malvín Sur, EXCELENTE UBICACIÓN. Se trata de una sólida construcción del año 1957.Características principales:• Jardín con porche• 3 espaciosos dormitorios con placar y pisos de parquet, con ventanas hacia el fondo.• 3 baños• Amplio Living Comedor con piso flotante y aire acondicionado.• Comedor diario.• Amplia cocina con mesada de mármol y dos piletas.• Patio interior con espacio para lavadero.• Amplio fondo de 221 m2 con galpón.• Sótano con garaje de 45 m2 con capacidad para 2 o 3 autos que se comunica en forma interior con la casa, con alarma instalada.• 2 entradas de acceso, principal y de servicio.Se destaca que toda la casa cuenta excelente distribución de ambientes con amplios ventanales y ventanas, muy luminosa.Consulte y agende su visita.TRATO DIRECTO CON DUEÑOS;Malvin, Montevideo;Vende;591 m²;169 m²;3;3;;;;;1957 años;;Cocina,Jardín,Patio,Living,Comedor,Baño social,;1;;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478724196-apartamento-venta-cordon-montevideo-imasuy-s--_JM#position=8&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Av Gral Rivera 100, Cordón;U$S;99.000;Venta de Apartamento 2 DORMITORIOS en Cordón, Montevideo. Av. Gral. Rivera - Esq. Pablo de Maria.Apartamento bien conservado en 2do. Piso por escalera.Cuenta con 48M² de Área.2 Dormitorios con piso flotante y bien iluminados que dan vista al frente del edificio.Living amplio.Cocina semi integrada actualizada con mesada y placares.Baño completo actualizado.Excelente ubicación a pasos de la Av. 18 de Julio cerca de supermercados, restaurantes, facultades y farmacias.Gastos Comunes: $ 3.050Incluyen: Ose, saneamiento, limpieza del palier, luz del pasillo y fondo de reserva.Gastos Anuales aproximados:Contribucion : $ 6.450Primaria   : $ 2.150Recorrido en Video   : https://youtu.be/4AHr5yfVOYMEntorno 360º      : https://goo.gl/maps/8iPKo7PXDXkLgvmX9AGENTE INMOBILIARIO: Samuel Lemus - 096.100.705Inmobiliaria MASContactos: 2407 07 01 | 096 100 701Dirección: Canelones 1968 esq. Jacksonhttps://www.imas.uy | info@imas.uyXINTEL(IMS-IMS-6028);Cordón, Montevideo;Vende;48 m²;48 m²;2;1;;;;;;3050 UYU;;;2;Sur;;;;;;;;;;
https://casa.mercadolibre.com.uy/MLU-478746163-dueno-vende-propierdad-_JM#position=9&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Benes Yrigoyen 00000, Colón;U$S;67.000;Casa en buen estado, excelente zona. Propiedad horizontal, con parrillero, dos terrazas, estufa a leña y garage. Azotea hecha a nueva.;Colón, Montevideo;Vende;92 m²;62 m²;2;1;1;;;;60 años;;Cocina,Jardín,Balcón,Patio,Comedor,Terraza,;1;5;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478704380-hermoso-apto-todo-a-nuevo-2-dorm-parque-batlle-_JM#position=10&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Avda Italia  3189, Parque Batlle;U$S;159.000;BAJÓ DE PRECIO!!Y TE ESTÁ ESPERANDO!!DUEÑO VENDE APTO 2 DORMITORIOS EN PARQUE BATLLE.AVDA ITALIA ENTRE LUIS A DE HERRERA Y ABACÚPRÓXIMO AL PARQUESOBRE AVENIDAEDIFICIO NUEVO2 ASCENSORES (4 EN TOTAL. DOS POR TORRE)REJA PERIMETRALCAMARAS DE SEGURIDADPORTERÍA Y LIMPIEZAEXCELENTE PRESENCIAPRECIO U$S 159.000TRATO DIRECTO CON DUEÑO. GASTOS COMUNES $ 4.549CONTRIBUCIÓN INMOBILIARIA $5.846LIVING COMEDOR AL FRENTE CON AIRE ACONDICIONADOCOCINA SEMI DEFINIDA CON BARRATODA HECHA A NUEVOPROFUSION DE PLACARES (DE JHONSON). EXCELENTE CALIDAD)PISOS EN PORCELANATOTERRAZA LAVADERO MUY CÓMODA CON CERRAMIENTOCON INSTALACIÓN PARA LAVARROPAS Y SECARROPAS.2 DORMITORIOS. UNO DE ELLOS AMPLIO Y CON PLACARES A MEDIDA DE PLAKARDS.BAÑO COMPLETO A NUEVO.BACHA DE BUEN TAMAÑOEQUIPAMIENTO DE FERRUMPISOS EN PORCELANATOPISOS FLOTANTES EN TODO EL APTO Y TENEMOS CAJAS DE REPUESTOES MUY LUMINOSO Y CÓMODO.NO DUDES EN CONSULTAR Y VISITARLOALEJANDRO 099243654ANNABEL 099146687;Parque Batlle, Montevideo;Vende;65 m²;65 m²;2;1;;;;;;;;;;;;;;;;;;;;
https://apartamento.mercadolibre.com.uy/MLU-478732770-apartamento-en-nuevo-centro-lafinur-2117-_JM#position=11&type=item&tracking_id=f63882f0-0f9b-4fce-8b43-f104bc1a75ae;Lafinur 2117, Jacinto Vera;U$S;79.000;¡¡¡Excelente oportunidad!!!Apartamento ubicado a 3 cuadras de Nuevo centro Shopping, dos de bulevar Artigas.Posee portero eléctrico, llave magnética y luz por sensor, en los pasillos del edificio.Es un apartamento con excelente iluminación, dos dormitorios, cocina, baño y living comedor.No dispone de terraza ya que se encuentra en planta baja.Patio delantero como se muestra en las imagenes.;Jacinto Vera, Montevideo;Vende;49 m²;47 m²;2;1;1;6;011;Interno;;2400 UYU;Cocina,Patio,Comedor,;;;Sur;;;;;;;;;;
